RubroDes;Total_Pedidos;Total_Despachadas;Total_Cancelado;Total_Pendientes;Cantidad_Presentaciones;Cantidad_Clientes_Compradores;Lineas_Transacciones;Share_Volumen;Share_Acumulado;Fill_Rate;Tasa_Cancelacion;CV_Demanda
LAVANDINA COMUN;1362066;1249202;66593;46271;3;405;5190;23,268880064302362;23,268880064302362;91,71376423756264;4,889116973773664;0,2483961841558405
LIQUIDO DESINFECTANTE;1249393;1025288;181811;42294;3;399;3534;21,344028754978776;44,61290881928114;82,06288973925739;14,55194642518407;0,33417838546478257
LAVAVAJILLA;1020841;891186;77308;52347;2;405;2744;17,43955637518482;62,05246519446596;87,29919742643565;7,572971696865624;0,3020032545609554
LAVANDINA CONCENTRADA;740438;644286;63682;32470;3;194;2316;12,649286464130164;74,70175165859612;87,01417269237938;8,600585059113659;0,38959878339196286
LIQUIDO LAVAR ROPA;434161;352911;49218;32032;7;327;3523;7,416997588661327;82,11874924725745;81,28574422852351;11,336347576129592;0,428246918108664
SUAVIZANTE;360281;286539;52447;21295;3;345;2485;6,154867222621312;88,27361646987876;79,53208745395955;14,557248370022288;0,2985439785495557
PROMOPACK;355656;309077;41015;5564;2;257;1787;6,075855948353106;94,34947241823187;86,90335605191534;11,532210900420631;0,3106866174098984
DETERGENTE CONCENTRADO;177218;153793;12254;11171;2;278;1325;3,0275070277325304;97,3769794459644;86,78181674547733;6,914647496303987;0,5102368874866277
LIQUIDO LIMPIADOR;152141;104503;45048;2590;3;166;783;2,599103627770626;99,97608307373503;68,68825628857441;29,60937551350392;0,60560308754448
LIQUIDO BACTERICIDA;1400;1265;135;0;1;1;2;0,023916926264970502;100,0;90,35714285714286;9,642857142857144;3,0779350562554626
