Producto_SKU;Producto;PresentacionDes;Total_Pedidos;Total_Despachadas;Total_Cancelado;Total_Pendientes;Meses_Con_Venta;Cantidad_Clientes;Lineas_Transacciones;Media_Mensual;Std_Mensual;Min_Mensual;Max_Mensual;Mediana_Mensual;CV_Demanda;Share_Volumen;Share_Acumulado;Fill_Rate;Tasa_Cancelacion;Clase_ABC;Clase_XYZ;Matriz_ABC_XYZ;Recomendacion_AnyLogic
Lavandina - 12X1 LT;Lavandina;12X1 LT;1322432;1218545;51404;52483;20;420;3142;66121,6;19429,309973390853;35953;122562;62641,5;0,29384210263198185;24,05935807969342;24,05935807969342;92,14424635822485;3,8870807723951026;A;Y;AY;Fase 1: Producto Estrella Principal (Alta Rotación)
Líquido Desinfectante / Limpiador - 15X900 CC;Líquido Desinfectante / Limpiador;15X900 CC;974194;797786;140985;35423;20;402;2735;48709,7;16532,342280320845;12545;77828;48846,5;0,3394055451033541;17,723771267701366;41,78312934739479;81,89190243421741;14,471963489818249;A;Y;AY;Fase 1: Producto Estrella Principal (Alta Rotación)
Lavavajilla - 15X750 CC;Lavavajilla;15X750 CC;896685;786751;60413;49521;20;402;2137;44834,25;14766,913923665546;27583;85784;39292,5;0,32936681050013206;16,313629358401716;58,0967587057965;87,73995327233087;6,73737154073058;A;Y;AY;Fase 1: Producto Estrella Principal (Alta Rotación)
Lavandina - 8X2 LT;Lavandina;8X2 LT;528703;471526;36030;21147;20;363;2613;26435,15;7919,876755254532;12671;49754;27109,5;0,2995964371397375;9,618834688519447;67,71559339431595;89,18542168287298;6,814790156288124;A;Y;AY;Fase 1/2: Producto de Contraste (Media/Alta Rotación con Variabilidad)
Suavizante - 16X900 CC DP;Suavizante;16X900 CC DP;268962;215280;34441;19241;20;341;1671;13448,1;4564,056343348881;7260;27318;12643,5;0,33938298669320427;4,8932974004186995;72,60889079473465;80,04104669061057;12,805154631509282;A;Y;AY;Fase 1/2: Producto de Contraste (Media/Alta Rotación con Variabilidad)
Líquido Lavar Ropa - 12X800 CC;Líquido Lavar Ropa;12X800 CC;262001;229381;13283;19337;20;303;1597;13100,05;5727,044948267273;5931;30140;11625,0;0,43717733506874196;4,766654070861683;77,37554486559632;87,54966584097006;5,06982797775581;A;Y;AY;Fase 1/2: Producto de Contraste (Media/Alta Rotación con Variabilidad)
Líquido Desinfectante / Limpiador - 3X4.5 LT;Líquido Desinfectante / Limpiador;3X4.5 LT;254557;205519;42835;6203;20;209;993;12727,85;4503,145289975839;6020;25016;12617,0;0,3538025110270657;4,631223393484518;82,00676825908084;80,7359451910574;16,827272477284065;B;Y;BY;Fase 1/2: Producto de Contraste (Media/Alta Rotación con Variabilidad)
Lavandina - 3X4 LT;Lavandina;3X4 LT;251369;203417;42841;5111;20;283;1751;12568,45;2626,1833117362744;4468;16522;12409,5;0,2089504522623135;4,57322325921821;86,57999151829905;80,92366202674157;17,043072136977912;B;X;BX;Fase 2: Presentación Pesada / Mayorista
Líquido Desinfectante / Limpiador - 6X1.8 LT;Líquido Desinfectante / Limpiador;6X1.8 LT;172783;126486;43039;3258;20;136;589;8639,15;3367,9778295776105;2234;13611;8866,0;0,3898506021515555;3,143487201673635;89,72347871997269;73,20511855911751;24,90927926937257;B;Y;BY;Fase 1/2: Producto de Contraste (Media/Alta Rotación con Variabilidad)
Lavavajilla - 3X4.5 LT;Lavavajilla;3X4.5 LT;124156;104435;16895;2826;20;157;607;6207,8;2179,1490275358697;2723;12101;5908,0;0,351034026150306;2,2588032214453495;91,98228194141804;84,11595090048004;13,607880408518316;B;Y;BY;Fase 1/2: Producto de Contraste (Media/Alta Rotación con Variabilidad)
Detergente Concentrado - 18X300 CC;Detergente Concentrado;18X300 CC;122441;106804;9416;6221;20;267;965;6122,05;2481,2285046132415;3383;12400;5692,5;0,40529373406183244;2,2276017690404815;94,20988371045851;87,22895108664581;7,690234480280298;B;Y;BY;Fase 1/2: Producto de Contraste (Media/Alta Rotación con Variabilidad)
Suavizante - 3X4.5 LT;Suavizante;3X4.5 LT;70987;56011;13464;1512;20;118;406;3549,35;1282,9324663277857;1626;7406;3447,0;0,36145560914753005;1,2914854238276123;95,50136913428612;78,90317945539324;18,96685308577627;C;Y;CY;Fase 3: Catálogo Extendido
Líquido Lavar Ropa - 6X1.4 LT DP;Líquido Lavar Ropa;6X1.4 LT DP;58197;49655;4085;4457;20;185;775;2909,85;1754,6267641806182;1373;8355;2309,5;0,6029956060211414;1,0587935426274608;96,56016267691358;85,32226747083183;7,019262161279791;C;Z;CZ;Fase 3: Catálogo Extendido
Detergente Concentrado - 12X500 CC;Detergente Concentrado;12X500 CC;54777;46989;2838;4950;15;143;360;2738,85;2254,445929713108;0;8130;2525,0;0,8231359620691561;0,9965725704848087;97,5567352473984;85,78235390766199;5,181006626868942;C;Z;CZ;Fase 3: Catálogo Extendido
Líquido Lavar Ropa - 4X3 LT DP;Líquido Lavar Ropa;4X3 LT DP;39539;29478;5331;4730;20;161;455;1976,95;1962,9160497639864;320;8480;1362,0;0,992901211342718;0,7193435723825483;98,27607881978093;74,55423758820405;13,482890310832344;C;Z;CZ;Fase 3: Catálogo Extendido
Líquido Lavar Ropa - 16X800 CC DP;Líquido Lavar Ropa;16X800 CC DP;33553;15164;17801;588;20;130;495;1677,65;1295,707539897553;36;6335;1339,5;0,7723348373603273;0,6104386778661991;98,88651749764713;45,19417041695228;53,05337823741543;C;Z;CZ;Fase 3: Catálogo Extendido
Líquido Lavar Ropa - 3X4.5 LT;Líquido Lavar Ropa;3X4.5 LT;33373;25137;5316;2920;20;3;44;1668,65;887,845427217812;378;3378;1653,0;0,53207408816577;0,6071638898586911;99,49368138750583;75,32136757258861;15,929044437119828;C;Z;CZ;Fase 3: Catálogo Extendido
Suavizante - 4X3 LT DP;Suavizante;4X3 LT DP;20332;15248;4542;542;20;101;408;1016,6;367,5282158878203;480;1830;996,5;0,3615268698483379;0,36990549871473666;99,86358688622057;74,99508164469802;22,339169781625024;C;Y;CY;Fase 3: Catálogo Extendido
Líquido Lavar Ropa - 12X1 LT;Líquido Lavar Ropa;12X1 LT;3898;2642;1256;0;16;60;148;194,9;133,39292966349652;0;447;195,5;0,6844172891918754;0,07091735362925651;99,93450423984983;67,77834787070293;32,22165212929708;C;Z;CZ;Fase 3: Catálogo Extendido
Líquido Lavar Ropa - 6X1.5 LT;Líquido Lavar Ropa;6X1.5 LT;3600;1454;2146;0;9;1;9;180,0;292,64024977687825;0;1116;0,0;1,6257791654271014;0,06549576015015994;99,99999999999999;40,38888888888889;59,611111111111114;C;Z;CZ;Fase 3: Catálogo Extendido
