Periodo;Pedidos;Despachadas;Cancelado;Pendientes;Lineas_Totales;Fill_Rate;Tasa_Cancelacion
2025-01;323047;299888;23159;0;1246;92,83107411615028;7,168925883849718
2025-02;327632;288698;38934;0;1078;88,11654539239146;11,883454607608536
2025-03;218035;189347;28688;0;1159;86,842479418442;13,157520581558007
2025-04;314203;257900;56303;0;1214;82,08069305512679;17,91930694487322
2025-05;219226;206646;12580;0;1084;94,26162955123935;5,73837044876064
2025-06;226856;215387;11469;0;1223;94,94436999682618;5,055630003173819
2025-07;245677;233566;12111;0;1225;95,07035660643854;4,929643393561465
2025-08;217776;204915;12861;0;1133;94,0943905664536;5,905609433546396
2025-09;259897;249724;10173;0;1227;96,08575704990824;3,914242950091767
2025-10;329824;314753;15071;0;1007;95,43059328611622;4,569406713883768
2025-11;277650;256725;20925;0;1417;92,46353322528364;7,53646677471637
2025-12;282458;259453;23005;0;997;91,85542629346664;8,144573706533361
2026-01;353494;310483;43011;0;1386;87,83260819136959;12,167391808630414
2026-02;280379;248407;31972;0;1296;88,59686353114891;11,403136468851091
2026-03;420686;358308;62378;0;1336;85,17231379223459;14,827686207765412
2026-04;353368;305890;46760;718;1521;86,56414842317358;13,232663965044939
2026-05;369031;307763;53980;7288;1143;83,39760074356897;14,627497418916027
2026-06;345538;271531;55520;18487;1278;78,58209516753585;16,067697329960815
2026-07;325842;212121;29793;83928;1311;65,09934262618079;9,143388513451304
2026-08;162976;26545;818;135613;408;16,28767425878657;0,5019143923031613
