RubroDes;Pedidos;Despachadas;Cancelado;Pendientes;Clientes;Share_%;Share_Acum_%;Fill_Rate_%;Cancelado_%;Media_Mensual;Std_Mensual;Min_Mensual;Max_Mensual;CV;Clasificacion_ABC
LAVANDINA COMUN;1362066;1249202;66593;46271;405;23,268880064302362;23,268880064302362;91,71376423756264;4,889116973773664;68103,3;16916,599848420454;38894;116643;0,2483961841558405;A (Principal)
LIQUIDO DESINFECTANTE;1249393;1025288;181811;42294;399;21,344028754978776;44,61290881928114;82,06288973925739;14,55194642518407;62469,65;20876,006777550054;19399;97851;0,33417838546478257;A (Principal)
LAVAVAJILLA;1020841;891186;77308;52347;405;17,43955637518482;62,05246519446596;87,29919742643565;7,572971696865624;51042,05;15414,865219463014;32851;93207;0,3020032545609554;A (Principal)
LAVANDINA CONCENTRADA;740438;644286;63682;32470;194;12,649286464130164;74,70175165859612;87,01417269237938;8,600585059113659;37021,9;14423,68719885891;17281;72195;0,38959878339196286;A (Principal)
LIQUIDO LAVAR ROPA;434161;352911;49218;32032;327;7,416997588661327;82,11874924725745;81,28574422852351;11,336347576129592;21708,05;9296,405510648783;11395;49003;0,428246918108664;B (Medio)
SUAVIZANTE;360281;286539;52447;21295;345;6,154867222621312;88,27361646987876;79,53208745395955;14,557248370022288;18014,05;5377,986156790624;9792;33378;0,2985439785495557;B (Medio)
PROMOPACK;355656;309077;41015;5564;257;6,075855948353106;94,34947241823187;86,90335605191534;11,532210900420631;17782,8;5524,877980076741;3978;29401;0,3106866174098984;B (Medio)
DETERGENTE CONCENTRADO;177218;153793;12254;11171;278;3,0275070277325304;97,3769794459644;86,78181674547733;6,914647496303987;8860,9;4521,158036330259;3383;20530;0,5102368874866277;C (Marginal)
LIQUIDO LIMPIADOR;152141;104503;45048;2590;166;2,599103627770626;99,97608307373503;68,68825628857441;29,60937551350392;7607,05;4606,8529671052365;1844;17725;0,60560308754448;C (Marginal)
LIQUIDO BACTERICIDA;1400;1265;135;0;1;0,023916926264970502;100,0;90,35714285714286;9,642857142857144;70,0;215,45545393788237;0;700;3,0779350562554626;C (Marginal)
